strike,type,importance,label
6933.39,zero_gamma,10,Zero Gamma
6920.08,resistance,9,Major Resistance (Vol)
6950.0,support,9,Major Support (Vol)
6700.0,resistance,8,Major Resistance (OI)
7000.0,support,8,Major Support (OI)
6900.0,resistance,7,Resistance
6910.0,resistance,7,Resistance
6915.0,resistance,7,Resistance
6920.0,resistance,7,Resistance
6925.0,resistance,7,Resistance
6930.0,resistance,7,Resistance
6935.0,support,7,Support
6940.0,support,7,Support
6945.0,support,7,Support
6955.0,support,7,Support
6960.0,support,7,Support
6970.0,support,7,Support
6975.0,support,7,Support
